ord;;;City;;;FAA;;;IATA;;;ICAO;;;Airport;;;Role;;;Enplanements;;;State;;;Lat;;;Lng
100;;;Tallahassee;;;TLH;;;TLH;;;KTLH;;;Tallahassee International Airport;;;P-N;;;346926;;;FLORIDA;;;30.396528;;;-84.350333
102;;;Valparaiso;;;VPS;;;VPS;;;KVPS;;;Destin–Fort Walton Beach Airport / Eglin Air Force Base;;;P-N;;;353953;;;FLORIDA;;;30.48325;;;-86.5254
300;;;Sioux Falls;;;FSD;;;FSD;;;KFSD;;;Sioux Falls Regional Airport (Joe Foss Field);;;P-N;;;355939;;;SOUTH DAKOTA;;;43.582014;;;-96.741914
69;;;Santa Barbara;;;SBA;;;SBA;;;KSBA;;;Santa Barbara Municipal Airport (Santa Barbara Airport);;;P-N;;;365036;;;CALIFORNIA;;;34.426211;;;-119.840372
203;;;Springfield;;;SGF;;;SGF;;;KSGF;;;Springfield-Branson National Airport;;;P-N;;;368752;;;MISSOURI;;;37.245667;;;-93.388639
197;;;Gulfport / Biloxi;;;GPT;;;GPT;;;KGPT;;;Gulfport–Biloxi International Airport;;;P-N;;;369597;;;MISSISSIPPI;;;30.407278;;;-89.070111
318;;;Harlingen;;;HRL;;;HRL;;;KHRL;;;Valley International Airport;;;P-S;;;373438;;;TEXAS;;;26.2285;;;-97.654389
130;;;Moline;;;MLI;;;MLI;;;KMLI;;;Quad City International Airport;;;P-N;;;384198;;;ILLINOIS;;;41.448528;;;-90.507539
205;;;Billings;;;BIL;;;BIL;;;KBIL;;;Billings Logan International Airport;;;P-S;;;387368;;;MONTANA;;;45.80921;;;-108.537654
94;;;Panama City Beach;;;ECP;;;ECP;;;KECP;;;Northwest Florida Beaches International Airport [nb 5];;;P-S;;;391893;;;FLORIDA;;;30.3417;;;-85.7973
307;;;Amarillo;;;AMA;;;AMA;;;KAMA;;;Rick Husband Amarillo International Airport;;;P-S;;;394593;;;TEXAS;;;35.219369;;;-101.705931
255;;;Wilmington;;;ILM;;;ILM;;;KILM;;;Wilmington International Airport;;;P-S;;;397737;;;NORTH CAROLINA;;;34.270615;;;-77.902569
176;;;Flint;;;FNT;;;FNT;;;KFNT;;;Bishop International Airport;;;P-S;;;398132;;;MICHIGAN;;;42.965424;;;-83.743629
345;;;Bellingham;;;BLI;;;BLI;;;KBLI;;;Bellingham International Airport;;;P-N;;;398368;;;WASHINGTON;;;48.792694;;;-122.537528
153;;;Baton Rouge;;;BTR;;;BTR;;;KBTR;;;Baton Rouge Metropolitan Airport (Ryan Field);;;P-S;;;401035;;;LOUISIANA;;;30.533167;;;-91.149639
89;;;Key West;;;EYW;;;EYW;;;KEYW;;;Key West International Airport;;;P-S;;;403021;;;FLORIDA;;;24.556111;;;-81.759556
258;;;Fargo;;;FAR;;;FAR;;;KFAR;;;Hector International Airport;;;P-S;;;403786;;;NORTH DAKOTA;;;46.92065;;;-96.8157639
87;;;Gainesville;;;GNV;;;GNV;;;KGNV;;;Gainesville Regional Airport;;;P-N;;;413520;;;FLORIDA;;;29.690056;;;-82.271778
273;;;Eugene;;;EUG;;;EUG;;;KEUG;;;Eugene Airport (Mahlon Sweet Field);;;P-S;;;434095;;;OREGON;;;44.124583;;;-123.211972
206;;;Bozeman;;;BZN;;;BZN;;;KBZN;;;Bozeman Yellowstone International Airport(was Gallatin Field Airport);;;P-S;;;442788;;;MONTANA;;;45.777643;;;-111.160151
325;;;Midland;;;MAF;;;MAF;;;KMAF;;;Midland International Airport;;;P-S;;;445043;;;TEXAS;;;31.942528;;;-102.201914
13;;;Fairbanks;;;FAI;;;FAI;;;PAFA;;;Fairbanks International Airport;;;P-S;;;457372;;;ALASKA;;;64.815114;;;-147.856267
131;;;Peoria;;;PIA;;;PIA;;;KPIA;;;General Wayne A. Downing Peoria International Airport;;;P-M;;;491000;;;ILLINOIS;;;40.664203;;;-89.693258
323;;;Lubbock;;;LBB;;;LBB;;;KLBB;;;Lubbock Preston Smith International Airport;;;P-S;;;508858;;;TEXAS;;;33.663639;;;-101.822778
338;;;Newport News;;;PHF;;;PHF;;;KPHF;;;Newport News/Williamsburg International Airport (Patrick Henry Field);;;P-S;;;519906;;;VIRGINIA;;;37.131894;;;-76.492989
139;;;Cedar Rapids;;;CID;;;CID;;;KCID;;;The Eastern Iowa Airport;;;P-S;;;520360;;;IOWA;;;41.884694;;;-91.710806
292;;;Columbia;;;CAE;;;CAE;;;KCAE;;;Columbia Metropolitan Airport;;;P-S;;;533575;;;SOUTH CAROLINA;;;33.938833;;;-81.119528
224;;;Atlantic City;;;ACY;;;ACY;;;KACY;;;Atlantic City International Airport;;;P-S;;;534204;;;NEW JERSEY;;;39.457583;;;-74.577167
43;;;Fayetteville;;;XNA;;;XNA;;;KXNA;;;Northwest Arkansas Regional Airport;;;P-S;;;558218;;;ARKANSAS;;;36.2818694;;;-94.3068111
97;;;Sarasota / Bradenton;;;SRQ;;;SRQ;;;KSRQ;;;Sarasota–Bradenton International Airport;;;P-S;;;595423;;;FLORIDA;;;27.395444;;;-82.554389
199;;;Jackson;;;JAN;;;JAN;;;KJAN;;;Jackson–Evers International Airport;;;P-S;;;596045;;;MISSISSIPPI;;;32.311167;;;-90.075889
148;;;Lexington;;;LEX;;;LEX;;;KLEX;;;Blue Grass Airport;;;P-S;;;604091;;;KENTUCKY;;;38.0365;;;-84.605889
84;;;Daytona Beach;;;DAB;;;DAB;;;KDAB;;;Daytona Beach International Airport;;;P-N;;;627917;;;FLORIDA;;;29.179917;;;-81.058056
111;;;Hilo, Hawaii;;;ITO;;;ITO;;;PHTO;;;Hilo International Airport;;;P-S;;;640411;;;HAWAII;;;19.721375;;;-155.048469
335;;;Burlington;;;BTV;;;BTV;;;KBTV;;;Burlington International Airport;;;P-S;;;640790;;;VERMONT;;;44.471861;;;-73.153278
281;;;Harrisburg /Middletown;;;MDT;;;MDT;;;KMDT;;;Harrisburg International Airport;;;P-S;;;657650;;;PENNSYLVANIA;;;40.193494;;;-76.763403
74;;;Colorado Springs;;;COS;;;COS;;;KCOS;;;City of Colorado Springs Municipal Airport;;;P-S;;;658318;;;COLORADO;;;38.805805;;;-104.700778
236;;;Islip;;;ISP;;;ISP;;;KISP;;;Long Island MacArthur Airport;;;P-S;;;662612;;;NEW YORK;;;40.79525;;;-73.100222
53;;;Fresno;;;FAT;;;FAT;;;KFAT;;;Fresno Yosemite International Airport;;;P-S;;;684849;;;CALIFORNIA;;;36.776194;;;-119.71814
146;;;Wichita;;;ICT;;;ICT;;;KICT;;;Wichita Dwight D. Eisenhower National Airport(formerly Wichita Mid-Continent Airport);;;P-S;;;736220;;;KANSAS;;;37.649944;;;-97.433056
95;;;Pensacola;;;PNS;;;PNS;;;KPNS;;;Pensacola International Airport (Pensacola Gulf Coast Regional Airport);;;P-S;;;744259;;;FLORIDA;;;30.473425;;;-87.186611
246;;;White Plains;;;HPN;;;HPN;;;KHPN;;;Westchester County Airport;;;P-S;;;770550;;;NEW YORK;;;41.066959;;;-73.707575
109;;;Savannah;;;SAV;;;SAV;;;KSAV;;;Savannah/Hilton Head International Airport;;;P-S;;;798970;;;GEORGIA;;;32.127583;;;-81.202139
303;;;Knoxville;;;TYS;;;TYS;;;KTYS;;;McGhee Tyson Airport;;;P-S;;;804917;;;TENNESSEE;;;35.810972;;;-83.994028
93;;;Orlando/Sanford;;;SFB;;;SFB;;;KSFB;;;Orlando Sanford International Airport;;;P-S;;;805661;;;FLORIDA;;;28.777639;;;-81.237489
99;;;St. Petersburg/Clearwater;;;PIE;;;PIE;;;KPIE;;;St. Pete–Clearwater International Airport;;;P-S;;;814595;;;FLORIDA;;;27.910167;;;-82.687389
365;;;Madison;;;MSN;;;MSN;;;KMSN;;;Dane County Regional Airport (Truax Field);;;P-S;;;833634;;;WISCONSIN;;;43.139858;;;-89.337514
161;;;Portland;;;PWM;;;PWM;;;KPWM;;;Portland International Jetport;;;P-S;;;837335;;;MAINE;;;43.646161;;;-70.309281
262;;;Akron / Canton;;;CAK;;;CAK;;;KCAK;;;Akron-Canton Regional Airport;;;P-S;;;852332;;;OHIO;;;40.9160833;;;-81.4421944
250;;;Greensboro;;;GSO;;;GSO;;;KGSO;;;Piedmont Triad International Airport;;;P-S;;;860124;;;NORTH CAROLINA;;;36.09775;;;-79.937306
61;;;Palm Springs;;;PSP;;;PSP;;;KPSP;;;Palm Springs International Airport;;;P-S;;;876428;;;CALIFORNIA;;;33.829667;;;-116.506694
296;;;Myrtle Beach;;;MYR;;;MYR;;;KMYR;;;Myrtle Beach International Airport;;;P-S;;;899859;;;SOUTH CAROLINA;;;33.67975;;;-78.928333
294;;;Greer;;;GSP;;;GSP;;;KGSP;;;Greenville-Spartanburg International Airport(Roger Milliken Field);;;P-S;;;955097;;;SOUTH CAROLINA;;;34.895556;;;-82.218889
244;;;Syracuse;;;SYR;;;SYR;;;KSYR;;;Syracuse Hancock International Airport;;;P-S;;;991663;;;NEW YORK;;;43.111187;;;-76.106311
45;;;Little Rock;;;LIT;;;LIT;;;KLIT;;;Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National);;;P-S;;;1055608;;;ARKANSAS;;;34.729444;;;-92.224306
140;;;Des Moines;;;DSM;;;DSM;;;KDSM;;;Des Moines International Airport;;;P-S;;;1079189;;;IOWA;;;41.533972;;;-93.663083
177;;;Grand Rapids;;;GRR;;;GRR;;;KGRR;;;Gerald R. Ford International Airport;;;P-S;;;1123257;;;MICHIGAN;;;42.880833;;;-85.522806
222;;;Manchester;;;MHT;;;MHT;;;KMHT;;;Manchester–Boston Regional Airport;;;P-S;;;1190082;;;NEW HAMPSHIRE;;;42.932556;;;-71.435667
232;;;Albany;;;ALB;;;ALB;;;KALB;;;Albany International Airport;;;P-S;;;1196753;;;NEW YORK;;;42.748267;;;-73.801692
243;;;Rochester;;;ROC;;;ROC;;;KROC;;;Greater Rochester International Airport;;;P-S;;;1209532;;;NEW YORK;;;43.118866;;;-77.672389
267;;;Dayton;;;DAY;;;DAY;;;KDAY;;;James M. Cox Dayton International Airport;;;P-S;;;1244841;;;OHIO;;;39.902375;;;-84.219375
118;;;Boise;;;BOI;;;BOI;;;KBOI;;;Boise Airport (Boise Air Terminal) (Gowen Field);;;P-S;;;1313741;;;IDAHO;;;43.564361;;;-116.222861
117;;;Lihue, Kauai;;;LIH;;;LIH;;;PHLI;;;Lihue Airport;;;P-S;;;1315141;;;HAWAII;;;21.975983;;;-159.338958
272;;;Tulsa;;;TUL;;;TUL;;;KTUL;;;Tulsa International Airport;;;P-S;;;1323943;;;OKLAHOMA;;;36.198389;;;-95.888111
114;;;Kailua-Kona, Hawaii;;;KOA;;;KOA;;;PHKO;;;Kona International Airport at Keahole;;;P-S;;;1376641;;;HAWAII;;;19.738767;;;-156.045631
54;;;Long Beach;;;LGB;;;LGB;;;KLGB;;;Long Beach Airport (Daugherty Field);;;P-S;;;1438948;;;CALIFORNIA;;;33.817722;;;-118.151611
316;;;El Paso;;;ELP;;;ELP;;;KELP;;;El Paso International Airport;;;P-S;;;1509093;;;TEXAS;;;31.80725;;;-106.377583
352;;;Spokane;;;GEG;;;GEG;;;KGEG;;;Spokane International Airport (Geiger Field);;;P-S;;;1545115;;;WASHINGTON;;;47.619861;;;-117.533833
340;;;Richmond;;;RIC;;;RIC;;;KRIC;;;Richmond International Airport (Byrd Field);;;P-S;;;1651131;;;VIRGINIA;;;37.505167;;;-77.319667
339;;;Norfolk;;;ORF;;;ORF;;;KORF;;;Norfolk International Airport;;;P-S;;;1663294;;;VIRGINIA;;;36.894611;;;-76.201222
149;;;Louisville;;;SDF;;;SDF;;;KSDF;;;Louisville International Airport (Standiford Field);;;P-S;;;1669470;;;KENTUCKY;;;38.1740858;;;-85.7364989
291;;;Charleston;;;CHS;;;CHS;;;KCHS;;;Charleston International Airport / Charleston AFB;;;P-S;;;1669988;;;SOUTH CAROLINA;;;32.898647;;;-80.040528
220;;;Reno;;;RNO;;;RNO;;;KRNO;;;Reno/Tahoe International Airport;;;P-S;;;1672139;;;NEVADA;;;39.499108;;;-119.768108
289;;;Providence / Warwick;;;PVD;;;PVD;;;KPVD;;;Theodore Francis Green State Airport;;;P-S;;;1764828;;;RHODE ISLAND;;;41.732581;;;-71.420383
271;;;Oklahoma City;;;OKC;;;OKC;;;KOKC;;;Will Rogers World Airport;;;P-S;;;1790407;;;OKLAHOMA;;;35.393089;;;-97.600733
