ord;;;City;;;FAA;;;IATA;;;ICAO;;;Airport;;;Role;;;Enplanements;;;State;;;Lat;;;Lng
1;;;Birmingham;;;BHM;;;BHM;;;KBHM;;;Birmingham-Shuttlesworth International Airport;;;P-S;;;2646000;;;ALABAMA;;;33.562942;;;-86.75355
3;;;Huntsville;;;HSV;;;HSV;;;KHSV;;;Huntsville International Airport (Carl T. Jones Field);;;P-S;;;1036620;;;ALABAMA;;;34.6371944;;;-86.7750556
6;;;Anchorage;;;ANC;;;ANC;;;PANC;;;Ted Stevens Anchorage International Airport;;;P-M;;;2325030;;;ALASKA;;;61.174361;;;-149.996361
7;;;Aniak;;;ANI;;;ANI;;;PANI;;;Aniak Airport;;;P-N;;;14334;;;ALASKA;;;61.5816;;;-159.543
8;;;Barrow;;;BRW;;;BRW;;;PABR;;;Wiley Post-Will Rogers Memorial Airport;;;P-N;;;51568;;;ALASKA;;;71.285446;;;-156.766003
9;;;Bethel;;;BET;;;BET;;;PABE;;;Bethel Airport (also see Bethel Seaplane Base);;;P-N;;;152084;;;ALASKA;;;60.779778;;;-161.838
10;;;Cordova;;;CDV;;;CDV;;;PACV;;;Merle K. (Mudhole) Smith Airport;;;P-N;;;15772;;;ALASKA;;;60.491778;;;-145.477556
11;;;Deadhorse / Prudhoe Bay;;;SCC;;;SCC;;;PASC;;;Deadhorse Airport (Prudhoe Bay Airport);;;P-N;;;48588;;;ALASKA;;;70.19475;;;-148.465167
12;;;Dillingham;;;DLG;;;DLG;;;PADL;;;Dillingham Airport;;;P-N;;;26632;;;ALASKA;;;59.044667;;;-158.5055
13;;;Fairbanks;;;FAI;;;FAI;;;PAFA;;;Fairbanks International Airport;;;P-S;;;457372;;;ALASKA;;;64.815114;;;-147.856267
14;;;Galena;;;GAL;;;GAL;;;PAGA;;;Edward G. Pitka Sr. Airport;;;P-N[nb 1];;;14141;;;ALASKA;;;64.736178;;;-156.937417
15;;;Gustavus;;;GST;;;GST;;;PGST;;;Gustavus Airport;;;P-N[nb 2];;;14141;;;ALASKA;;;58.4253;;;-135.707
16;;;Haines;;;HNS;;;HNS;;;PAHN;;;Haines Airport (also see Haines Seaplane Base);;;P-N;;;10106;;;ALASKA;;;59.2438;;;-135.524
17;;;Homer;;;HOM;;;HOM;;;PAHO;;;Homer Airport;;;P-N;;;37705;;;ALASKA;;;59.645556;;;-151.476583
18;;;Hoonah;;;HNH;;;HNH;;;PAOH;;;Hoonah Airport (also see Hoonah Seaplane Base);;;P-N[nb 3];;;10468;;;ALASKA;;;58.096111;;;-135.409722
19;;;Juneau;;;JNU;;;JNU;;;PAJN;;;Juneau International Airport;;;P-N;;;321573;;;ALASKA;;;58.354972;;;-134.576278
20;;;Kenai;;;ENA;;;ENA;;;PAEN;;;Kenai Municipal Airport;;;P-N;;;99821;;;ALASKA;;;60.573111;;;-151.245
